
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
BC:07:1D:63:75:5E, 2026-08-14 13:49:00, 2026-08-14 13:49:09,  2, 270, OPN, ,   , -76,       17,        0,   0.  0.  0.  0,  11, ARIYA.NET32, 
34:78:39:09:76:7E, 2026-08-14 13:49:01, 2026-08-14 13:49:05,  8, 130, OPN, ,   , -85,        2,        0,   0.  0.  0.  0,  14, LORENA HOTSPOT, 
E0:A1:CE:DB:63:D0, 2026-08-14 13:49:01, 2026-08-14 13:49:09,  8, 130, OPN, ,   , -74,        8,       11,   0.  0.  0.  0,  17, LORENA HOTSPOT 21, 
98:03:8E:2C:B8:66, 2026-08-14 13:49:02, 2026-08-14 13:49:10,  4, 270, WPA2, CCMP, PSK, -88,        3,        0,   0.  0.  0.  0,  11, Thania_wifi, 
88:E0:56:F5:01:08, 2026-08-14 13:49:03, 2026-08-14 13:49:11, 11, 130, OPN, ,   , -57,       17,      736, 172. 10. 11.238,   9, ARIYA.NET, 
50:42:89:E3:66:29, 2026-08-14 13:49:03, 2026-08-14 13:49:11,  6, 130, OPN, ,   , -79,        6,        5,   0.  0.  0.  0,  14, LORENA HOTSPOT, 
C0:06:C3:33:45:6E, 2026-08-14 13:49:05, 2026-08-14 13:49:05,  3, 270, OPN, ,   , -85,        2,        0,   0.  0.  0.  0,  11, ARIYA.NET41, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B2:85:F2:40:20:A3, 2026-08-14 13:49:03, 2026-08-14 13:49:11,  -1,      700, 88:E0:56:F5:01:08,
CA:BC:A1:85:1B:05, 2026-08-14 13:49:03, 2026-08-14 13:49:10, -31,       48, 88:E0:56:F5:01:08,

